File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms]
adt_plugin_compatibility.vpr,0,2482,457,18,2083,2240,3123
duplicate_decl.vpr,0,1892,211,11,1593,2028,2056
goto.vpr,1,18,2,11,16,18,21
goto2.vpr,1,8,0,0,7,8,9
inc.vpr,0,1960,100,5,1880,1899,2101
inc_old.vpr,2,842,53,6,779,837,910
inc_uniqueNameclashing.vpr,0,810,37,4,760,823,848
inc_wrong_bc.vpr,1,738,43,5,682,743,789
inc_wrong_fold_ghost.vpr,2,770,42,5,710,794,806
inc_wrong_precond.vpr,1,532,29,5,499,526,571
inc_wrong_precond_2.vpr,1,989,88,8,865,1043,1061
inc_wrong_precond_3.vpr,1,1116,50,4,1049,1132,1169
inc_wrong_precond_4.vpr,1,811,74,9,737,785,913
len.vpr,0,924,21,2,895,932,946
list_copy.vpr,0,1542,39,2,1487,1563,1576
missing_pre.vpr,1,986,113,11,905,908,1147
missing_pre_2.vpr,1,894,73,8,841,844,998
multiple_targets_in_one_spec.vpr,2,566,48,8,517,551,632
nested_loops.vpr,0,532,28,5,497,534,566
normal_loop.vpr,0,538,28,5,499,552,565
normal_loop2.vpr,0,482,36,7,431,500,515
not_missing_pre.vpr,0,422,27,6,384,434,448
not_missing_pre_2.vpr,0,428,8,1,416,433,436
only_works_for_ie.vpr,0,400,24,6,369,403,430
postnotpresis_plusduplicatetargetdecl.vpr,2,394,28,7,366,383,433
prec_not_established.vpr,1,385,44,11,350,357,448
prec_not_preserved.vpr,1,371,7,1,366,366,381
pre_body.vpr,1,4,6,150,0,0,13
pre_outside.vpr,1,5,7,140,0,0,16
pre_precond.vpr,1,0,0,0,0,0,0
targets_declin.vpr,2,2,3,150,0,0,7
targets_declinbase.vpr,4,2,1,50,1,2,5
targets_declinghost.vpr,2,5,5,100,0,3,13
targets_declin_assin.vpr,1,3,0,0,3,4,4
targets_declin_assout.vpr,3,4,0,0,4,4,5
targets_declout_assin.vpr,0,407,27,6,374,407,441
targets_declout_assout.vpr,0,366,12,3,352,364,383
targets_declout_postnotpresbc.vpr,1,360,16,4,349,349,383
test_with_all.vpr,0,326,4,1,322,324,333
